celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,n_judges_present,total_judge_score,last_active_week,active,judge_rank,judge_percent
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,1,3,20.0,6,1,1.0,0.1834862385321101
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,2,3,26.0,6,1,1.0,0.21487603305785125
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,3,3,24.0,6,1,2.0,0.22641509433962265
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,4,3,21.0,6,1,3.0,0.22826086956521738
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,5,3,27.0,6,1,1.0,0.3698630136986301
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,6,3,27.0,6,1,2.0,0.4954128440366973
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,1,3,13.0,6,1,6.0,0.11926605504587157
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,2,3,17.0,6,1,5.0,0.14049586776859505
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,3,3,21.0,6,1,4.0,0.19811320754716982
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,4,3,26.0,6,1,1.0,0.2826086956521739
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5,3,23.5,6,1,2.0,0.3219178082191781
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,6,3,27.5,6,1,1.0,0.5045871559633027
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,1,3,18.0,3,1,4.0,0.1651376146788991
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,2,3,14.0,3,1,6.0,0.11570247933884298
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,3,3,13.0,3,1,5.0,0.12264150943396226
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,Eliminated Week 4,4,1,3,20.0,4,1,1.0,0.1834862385321101
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,Eliminated Week 4,4,2,3,24.0,4,1,2.0,0.19834710743801653
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,Eliminated Week 4,4,3,3,26.0,4,1,1.0,0.24528301886792453
Rachel Hunter,Jonathan Roberts,Model,Unknown,New Zealand,35,1,Eliminated Week 4,4,4,3,25.0,4,1,2.0,0.2717391304347826
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,1,3,20.0,5,1,1.0,0.1834862385321101
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,2,3,21.0,5,1,3.0,0.17355371900826447
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,3,3,22.0,5,1,3.0,0.20754716981132076
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,4,3,20.0,5,1,4.0,0.21739130434782608
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,5,3,22.5,5,1,3.0,0.3082191780821918
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,1,3,18.0,2,1,4.0,0.1651376146788991
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,2,3,19.0,2,1,4.0,0.15702479338842976
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,1,3,23.0,2,1,2.0,0.11794871794871795
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,2,3,17.0,2,1,8.0,0.085
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,1,3,20.0,5,1,6.0,0.10256410256410256
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,2,3,22.0,5,1,5.0,0.11
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,3,3,26.0,5,1,3.0,0.14285714285714285
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,4,3,25.0,5,1,4.0,0.15822784810126583
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,5,3,22.0,5,1,6.0,0.1456953642384106
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,1,3,18.0,6,1,8.0,0.09230769230769231
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,2,3,22.0,6,1,5.0,0.11
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,3,3,22.0,6,1,5.0,0.12087912087912088
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,4,3,21.0,6,1,6.0,0.13291139240506328
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,5,3,24.0,6,1,4.0,0.15894039735099338
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,3,23.0,6,1,4.0,0.17293233082706766
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,1,3,19.0,7,1,7.0,0.09743589743589744
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,2,3,20.0,7,1,7.0,0.1
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,3,3,25.0,7,1,4.0,0.13736263736263737
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,4,3,26.0,7,1,2.0,0.16455696202531644
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5,3,25.0,7,1,3.0,0.16556291390728478
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,6,3,27.0,7,1,3.0,0.20300751879699247
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,3,26.5,7,1,3.0,0.25980392156862747
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,1,3,22.0,8,1,4.0,0.11282051282051282
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,2,3,29.0,8,1,1.0,0.145
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,3,3,27.0,8,1,1.0,0.14835164835164835
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,4,3,26.0,8,1,2.0,0.16455696202531644
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,5,3,30.0,8,1,1.0,0.1986754966887417
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,6,3,30.0,8,1,1.0,0.22556390977443608
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,7,3,27.5,8,1,1.0,0.2696078431372549
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,3,28.6665,8,1,2.0,0.33992071896021603
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,1,3,21.0,8,1,5.0,0.1076923076923077
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,2,3,23.0,8,1,4.0,0.115
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,3,3,19.0,8,1,7.0,0.1043956043956044
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,4,3,24.0,8,1,5.0,0.1518987341772152
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,5,3,23.0,8,1,5.0,0.152317880794702
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,6,3,23.0,8,1,4.0,0.17293233082706766
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,3,20.5,8,1,4.0,0.20098039215686275
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,8,3,26.666600000000003,8,1,3.0,0.31620636785880724
Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,2,Eliminated Week 3,8,1,3,23.0,3,1,2.0,0.11794871794871795
Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,2,Eliminated Week 3,8,2,3,24.0,3,1,3.0,0.12
Giselle Fernandez,Jonathan Roberts,News Anchor,Unknown,Mexico,44,2,Eliminated Week 3,8,3,3,22.0,3,1,5.0,0.12087912087912088
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,1,3,12.0,4,1,10.0,0.06153846153846154
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,2,3,16.0,4,1,9.0,0.08
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,3,3,14.0,4,1,8.0,0.07692307692307693
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,3,8.0,4,1,7.0,0.05063291139240506
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,1,3,24.0,8,1,1.0,0.12307692307692308
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,2,3,27.0,8,1,2.0,0.135
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,3,3,27.0,8,1,1.0,0.14835164835164835
