season,week,name,industry,est_fan_share,uncertainty,num_elim,is_eliminated,is_valid_signal
1,1,Evander Holyfield,Athlete,0.16666666666666666,,0,False,False
1,1,Joey McIntyre,Singer/Rapper,0.16666666666666666,,0,False,False
1,1,John O'Hurley,Actor/Actress,0.16666666666666666,,0,False,False
1,1,Kelly Monaco,Actor/Actress,0.16666666666666666,,0,False,False
1,1,Rachel Hunter,Model,0.16666666666666666,,0,False,False
1,1,Trista Sutter,TV Personality,0.16666666666666666,,0,False,False
1,2,Evander Holyfield,Athlete,0.5315251603965019,0.8935068376080422,1,False,True
1,2,Joey McIntyre,Singer/Rapper,2.1996978478746548e-05,1.323422629083068e-10,1,False,False
1,2,John O'Hurley,Actor/Actress,0.00012796457571038276,7.077599414766677e-09,1,False,False
1,2,Kelly Monaco,Actor/Actress,0.4682740008974315,0.8935068376080422,1,False,True
1,2,Rachel Hunter,Model,2.8341654594274396e-06,1.7736765677113196e-16,1,False,False
1,2,Trista Sutter,TV Personality,4.804298641664466e-05,8.47013164340264e-08,1,True,False
1,3,Evander Holyfield,Athlete,6.236321585367963e-05,2.573922414584295e-08,1,True,False
1,3,Joey McIntyre,Singer/Rapper,1.0581464189120837e-06,7.239203361641106e-13,1,False,False
1,3,John O'Hurley,Actor/Actress,2.1737442162534348e-05,9.058883251352128e-13,1,False,False
1,3,Kelly Monaco,Actor/Actress,0.1215981382196736,0.5637895556368226,1,False,True
1,3,Rachel Hunter,Model,0.8783167029758915,0.5637895556368225,1,False,True
1,4,Joey McIntyre,Singer/Rapper,0.4590325362130071,0.857089349654656,1,False,True
1,4,John O'Hurley,Actor/Actress,0.5409109647423666,0.8570893496546559,1,False,True
1,4,Kelly Monaco,Actor/Actress,4.3058824283711254e-05,6.811893564740411e-10,1,False,False
1,4,Rachel Hunter,Model,1.3440220343015789e-05,1.9186324570844598e-13,1,True,False
1,5,Joey McIntyre,Singer/Rapper,0.3333333333333333,,0,False,False
1,5,John O'Hurley,Actor/Actress,0.3333333333333333,,0,False,False
1,5,Kelly Monaco,Actor/Actress,0.3333333333333333,,0,False,False
1,6,John O'Hurley,Actor/Actress,0.5,,0,False,False
1,6,Kelly Monaco,Actor/Actress,0.5,,0,False,False
2,1,Drew Lachey,Singer/Rapper,3.0026660433399934e-05,5.091249887762654e-09,1,False,False
2,1,George Hamilton,Actor/Actress,6.984430721119184e-07,9.352954838605762e-17,1,False,False
2,1,Giselle Fernandez,News Anchor,1.1621907913253638e-05,1.130943591156062e-12,1,False,False
2,1,Jerry Rice,Athlete,2.1787151733768266e-06,3.524568192443088e-14,1,False,False
2,1,Kenny Mayne,Sports Broadcaster,8.523586675092724e-05,7.916336048789528e-12,1,True,False
2,1,Lisa Rinna,Actor/Actress,7.405676889970469e-06,3.4713306745276063e-09,1,False,False
2,1,Master P,Singer/Rapper,0.514945584406504,0.8920803248038592,1,False,True
2,1,Stacy Keibler,Athlete,3.551333312221395e-06,3.3408966582593925e-11,1,False,False
2,1,Tatum O'Neal,Actor/Actress,0.4848928867120371,0.8928126580708229,1,False,True
2,1,Tia Carrere,Actor/Actress,2.081027791249931e-05,1.6344021429756403e-14,1,False,False
2,2,Drew Lachey,Singer/Rapper,4.442353892019937e-05,3.341426445725708e-13,1,False,False
2,2,George Hamilton,Actor/Actress,0.00018774523014649224,1.3442269949959728e-08,1,False,False
2,2,Giselle Fernandez,News Anchor,9.293744652991869e-06,4.80789062137319e-11,1,False,False
2,2,Jerry Rice,Athlete,9.882539061080697e-06,2.2306418510955734e-12,1,False,False
2,2,Lisa Rinna,Actor/Actress,6.460220235375584e-06,8.905070661164942e-14,1,False,False
2,2,Master P,Singer/Rapper,0.9996730357003789,0.0022896788151185454,1,False,True
2,2,Stacy Keibler,Athlete,3.315027276564943e-06,6.879725520546687e-13,1,False,False
2,2,Tatum O'Neal,Actor/Actress,6.279163970405099e-05,5.726980174865276e-08,1,True,False
2,2,Tia Carrere,Actor/Actress,3.0523596252838604e-06,1.0413282630627177e-11,1,False,False
2,3,Drew Lachey,Singer/Rapper,3.547863558364216e-07,1.575355575283773e-11,1,False,False
2,3,George Hamilton,Actor/Actress,0.00010062384030442667,6.269254470613782e-05,1,False,False
2,3,Giselle Fernandez,News Anchor,5.78549877754604e-16,4.91652267668589e-24,1,True,False
2,3,Jerry Rice,Athlete,0.273890825004194,0.4620861167211424,1,False,True
2,3,Lisa Rinna,Actor/Actress,1.4616904037431887e-07,4.195565158027972e-17,1,False,False
2,3,Master P,Singer/Rapper,0.7260056712640903,0.4565623394770636,1,False,True
2,3,Stacy Keibler,Athlete,2.204096242527707e-06,2.2340274018680504e-11,1,False,False
2,3,Tia Carrere,Actor/Actress,1.748397632777096e-07,2.943272807011407e-10,1,False,False
2,4,Drew Lachey,Singer/Rapper,1.4216557895358914e-05,4.355303513922513e-09,1,False,False
2,4,George Hamilton,Actor/Actress,0.05117071105357038,0.5534004554905834,1,False,True
2,4,Jerry Rice,Athlete,0.007607944988575892,0.13525557591731277,1,False,True
2,4,Lisa Rinna,Actor/Actress,0.9411859400021305,0.553400455490583,1,False,True
2,4,Master P,Singer/Rapper,8.173129285299212e-06,2.274195497345276e-11,1,True,False
2,4,Stacy Keibler,Athlete,1.0369867753847975e-05,5.336502082857034e-12,1,False,False
