season,week,scheme,celebrity_name,total_judge_score,judge_percent,judge_rank,eliminated_after_week,vote_share_point,vote_share_min,vote_share_max
1,1,rank,John O'Hurley,20.0,0.1834862385321101,1.0,False,0.19339497832211183,0.11666666666666665,0.24666666666666665
1,1,rank,Kelly Monaco,13.0,0.1192660550458715,6.0,False,0.16561462752778425,0.11666666666666665,0.24666666666666665
1,1,rank,Evander Holyfield,18.0,0.1651376146788991,4.0,False,0.17012938164737712,0.11666666666666665,0.24666666666666665
1,1,rank,Rachel Hunter,20.0,0.1834862385321101,1.0,False,0.18256255485449957,0.11666666666666665,0.24666666666666665
1,1,rank,Joey McIntyre,20.0,0.1834862385321101,1.0,False,0.1370628434326832,0.11666666666666665,0.24666666666666665
1,1,rank,Trista Sutter,18.0,0.1651376146788991,4.0,False,0.1443549834032886,0.11666666666666665,0.24666666666666665
1,1,percentage,John O'Hurley,20.0,0.1834862385321101,1.0,False,0.14093552522210492,0.11666666666666665,0.24666666666666665
1,1,percentage,Kelly Monaco,13.0,0.1192660550458715,6.0,False,0.17130211952036375,0.11666666666666665,0.24666666666666665
1,1,percentage,Evander Holyfield,18.0,0.1651376146788991,4.0,False,0.2031275976361354,0.11666666666666665,0.24666666666666665
1,1,percentage,Rachel Hunter,20.0,0.1834862385321101,1.0,False,0.16424567246851351,0.11666666666666665,0.24666666666666665
1,1,percentage,Joey McIntyre,20.0,0.1834862385321101,1.0,False,0.1735807318274494,0.11666666666666665,0.24666666666666665
1,1,percentage,Trista Sutter,18.0,0.1651376146788991,4.0,False,0.17522694622676777,0.11666666666666665,0.24666666666666665
1,2,rank,John O'Hurley,26.0,0.2148760330578512,1.0,False,0.16464966515407947,0.11666666666666665,0.24666666666666665
1,2,rank,Kelly Monaco,17.0,0.140495867768595,5.0,False,0.1591764397780126,0.11666666666666665,0.24666666666666665
1,2,rank,Evander Holyfield,14.0,0.1157024793388429,6.0,False,0.13713094478185545,0.11666666666666665,0.24666666666666665
1,2,rank,Rachel Hunter,24.0,0.1983471074380165,2.0,False,0.18265634126533264,0.11666666666666665,0.24666666666666665
1,2,rank,Joey McIntyre,21.0,0.1735537190082644,3.0,False,0.18008235208203174,0.11666666666666665,0.24666666666666665
1,2,rank,Trista Sutter,19.0,0.1570247933884297,4.0,False,0.1517875504995976,0.11666666666666665,0.24666666666666665
1,2,percentage,John O'Hurley,26.0,0.2148760330578512,1.0,False,0.15816402827509662,0.11666666666666665,0.24666666666666665
1,2,percentage,Kelly Monaco,17.0,0.140495867768595,5.0,False,0.16497518924888666,0.11666666666666665,0.24666666666666665
1,2,percentage,Evander Holyfield,14.0,0.1157024793388429,6.0,False,0.1852050659227388,0.11666666666666665,0.24666666666666665
1,2,percentage,Rachel Hunter,24.0,0.1983471074380165,2.0,False,0.13942787016880526,0.11666666666666665,0.24666666666666665
1,2,percentage,Joey McIntyre,21.0,0.1735537190082644,3.0,False,0.18248789335592255,0.11666666666666665,0.24666666666666665
1,2,percentage,Trista Sutter,19.0,0.1570247933884297,4.0,False,0.17105615810094218,0.11666666666666665,0.24666666666666665
1,3,rank,John O'Hurley,24.0,0.2264150943396226,2.0,False,0.19414580927303024,0.15000000000000002,0.28
1,3,rank,Kelly Monaco,21.0,0.1981132075471698,4.0,False,0.19583171301087965,0.15000000000000002,0.28
1,3,rank,Evander Holyfield,13.0,0.1226415094339622,5.0,False,0.1855935377180481,0.15000000000000002,0.28
1,3,rank,Rachel Hunter,26.0,0.2452830188679245,1.0,False,0.1714739088660931,0.15000000000000002,0.28
1,3,rank,Joey McIntyre,22.0,0.2075471698113207,3.0,False,0.18798605573144656,0.15000000000000002,0.28
1,3,percentage,John O'Hurley,24.0,0.2264150943396226,2.0,False,0.20920541028052506,0.15000000000000002,0.28
1,3,percentage,Kelly Monaco,21.0,0.1981132075471698,4.0,False,0.23887757532468773,0.15000000000000002,0.28
1,3,percentage,Evander Holyfield,13.0,0.1226415094339622,5.0,False,0.1816543964431176,0.15000000000000002,0.28
1,3,percentage,Rachel Hunter,26.0,0.2452830188679245,1.0,False,0.18156641487455566,0.15000000000000002,0.28
1,3,percentage,Joey McIntyre,22.0,0.2075471698113207,3.0,False,0.18087833544749196,0.15000000000000002,0.28
1,4,rank,John O'Hurley,21.0,0.2282608695652173,3.0,False,0.23072223107776113,0.2,0.33
1,4,rank,Kelly Monaco,26.0,0.2826086956521739,1.0,False,0.24944913664618254,0.2,0.33
1,4,rank,Rachel Hunter,25.0,0.2717391304347826,2.0,False,0.24568110355318123,0.2,0.33
1,4,rank,Joey McIntyre,20.0,0.217391304347826,4.0,False,0.24403811309717843,0.2,0.33
1,4,percentage,John O'Hurley,21.0,0.2282608695652173,3.0,False,0.2598653160420066,0.2,0.33
1,4,percentage,Kelly Monaco,26.0,0.2826086956521739,1.0,False,0.2524612629504937,0.2,0.33
1,4,percentage,Rachel Hunter,25.0,0.2717391304347826,2.0,False,0.28036627747673076,0.2,0.33
1,4,percentage,Joey McIntyre,20.0,0.217391304347826,4.0,False,0.24538083830838722,0.2,0.33
1,5,rank,John O'Hurley,27.0,0.3698630136986301,1.0,False,0.3105373493065013,0.2833333333333333,0.41333333333333333
1,5,rank,Kelly Monaco,23.5,0.3219178082191781,2.0,False,0.29657132978775613,0.2833333333333333,0.41333333333333333
1,5,rank,Joey McIntyre,22.5,0.3082191780821918,3.0,False,0.3461169235516843,0.2833333333333333,0.41333333333333333
1,5,percentage,John O'Hurley,27.0,0.3698630136986301,1.0,False,0.3631566049671664,0.2833333333333333,0.41333333333333333
1,5,percentage,Kelly Monaco,23.5,0.3219178082191781,2.0,False,0.35444198265469745,0.2833333333333333,0.41333333333333333
1,5,percentage,Joey McIntyre,22.5,0.3082191780821918,3.0,False,0.3581763089142939,0.2833333333333333,0.41333333333333333
1,6,rank,John O'Hurley,27.0,0.4954128440366973,2.0,False,0.46274277252792156,0.45,0.58
1,6,rank,Kelly Monaco,27.5,0.5045871559633027,1.0,False,0.49546972560967645,0.45,0.58
1,6,percentage,John O'Hurley,27.0,0.4954128440366973,2.0,False,0.5290936889101482,0.45,0.58
1,6,percentage,Kelly Monaco,27.5,0.5045871559633027,1.0,False,0.5014044085528052,0.45,0.58
2,1,rank,Tatum O'Neal,23.0,0.1179487179487179,2.0,False,0.09155990050937243,0.05,0.18
2,1,rank,Tia Carrere,20.0,0.1025641025641025,6.0,False,0.07247956214401807,0.05,0.18
2,1,rank,George Hamilton,18.0,0.0923076923076923,8.0,False,0.08834840738554786,0.05,0.18
2,1,rank,Lisa Rinna,19.0,0.0974358974358974,7.0,False,0.07706015249232187,0.05,0.18
2,1,rank,Stacy Keibler,22.0,0.1128205128205128,4.0,False,0.09586691219032865,0.05,0.18
